3.71921,0.10699
1.30103,nan
1.30103,nan
1.30119,nan
3.70848,0.02061
3.58276,nan
1.49957,nan
3.65901,nan
3.57385,nan
1.30103,nan
3.87297,nan
1.30103,nan
3.76773,nan
2.96070,nan
1.30103,nan
3.63103,nan
3.72908,nan
3.13739,nan
2.63384,nan
1.31863,nan
1.30103,nan
1.30103,nan
1.38383,nan
1.66189,nan
1.29922,nan
1.45093,nan
1.58255,nan
1.52536,nan
1.30103,nan
1.36683,nan
3.67178,nan
3.73839,nan
3.70434,nan
3.57638,nan
3.73981,0.05624
3.62141,nan
3.25933,nan
3.73625,nan
3.34276,nan
3.35203,nan
3.74252,nan
3.71957,nan
3.69920,nan
3.63863,nan
3.54780,0.07774
3.64354,nan
3.42211,nan
3.12244,nan
3.08219,nan
3.65453,nan
3.42151,nan
1.61803,nan
3.60424,nan
3.58366,nan
3.62932,0.06236
3.58185,nan
3.27640,nan
3.62928,nan
3.69131,0.05376
3.63674,nan
3.65455,nan
3.67581,nan
3.64834,nan
3.59157,nan
3.61798,0.03658
1.64688,nan
3.56786,nan
3.57396,nan
1.30103,nan
3.60507,0.05358
3.13735,nan
3.81968,0.11751
3.83340,nan
3.75914,nan
3.73751,nan
3.65636,nan
3.58521,nan
3.57488,nan
3.85589,0.12518
3.26338,nan
3.57754,0.12754
3.60192,0.15872
3.69333,nan
3.57486,0.04889
3.67919,0.00459
3.73116,nan
3.63821,nan
3.72795,0.05725
3.63949,0.13733
3.69901,nan
3.47314,nan
3.03489,nan
1.50850,nan
3.44372,nan
1.36963,nan
1.30103,nan
3.68854,0.11786
1.47636,nan
1.30103,nan
1.30103,nan
3.12316,nan
1.59382,nan
1.30103,nan
3.68650,nan
1.30103,nan
3.23118,nan
1.44960,nan
3.25910,nan
3.69562,nan
3.63950,nan
3.58046,nan
3.63636,nan
1.30233,nan
3.28870,nan
3.48475,nan
1.30103,nan
3.69262,nan
3.13893,nan
3.50990,nan
3.29730,nan
1.29944,nan
1.30237,nan
3.56198,nan
1.30157,nan
1.77346,nan
1.45344,nan
3.73506,nan
1.30103,nan
1.30103,nan
1.68176,nan
3.49684,nan
3.71965,nan
1.30427,nan
1.60132,nan
3.25658,nan
1.30111,nan
1.63308,nan
3.74040,nan
3.51165,nan
3.76407,nan
1.30103,nan
1.74983,nan
1.30103,nan
3.56961,nan
1.51982,nan
3.44485,nan
3.55808,nan
3.37872,nan
3.75357,nan
3.71713,nan
1.37894,nan
1.30109,nan
1.57722,nan
3.58844,nan
3.36193,nan
3.63199,nan
3.81429,nan
3.45932,nan
1.65128,nan
1.30868,nan
1.30221,nan
1.30103,nan
3.46088,nan
3.46572,nan
1.80671,nan
1.30109,nan
3.69147,0.10714
3.66713,nan
3.30083,nan
2.93856,nan
1.30103,nan
1.40639,nan
3.49461,nan
3.49859,nan
1.61546,nan
1.30098,nan
3.33906,nan
3.67245,nan
3.57177,nan
1.30103,nan
3.42568,nan
1.30103,nan
3.55999,nan
1.56905,nan
1.35100,nan
1.47019,nan
3.28562,nan
2.12407,nan
3.19404,nan
3.20330,nan
3.70926,nan
1.44066,nan
1.59295,nan
3.37383,nan
3.38735,nan
1.36330,nan
1.59546,nan
1.30256,nan
3.50638,nan
3.19710,nan
3.12613,nan
3.52947,nan
3.52969,nan
3.74052,0.13936
1.69029,nan
3.65981,nan
3.82491,nan
3.71072,0.09652
1.42574,nan
1.30103,nan
3.52965,nan
3.72780,nan
3.63530,nan
3.50402,nan
3.79819,nan
3.69028,nan
3.69119,nan
3.46647,nan
1.30103,nan
3.34635,nan
